name,ALIGN,EYE,HAIR,SEX,Publisher
Ororo Munroe (Earth-616),Good Characters,Blue Eyes,White Hair,Female Characters,Marvel
Clinton Barton (Earth-616),Good Characters,Blue Eyes,Blond Hair,Male Characters,Marvel
Matthew Murdock (Earth-616),Good Characters,Blue Eyes,Red Hair,Male Characters,Marvel
Stephen Strange (Earth-616),Good Characters,Grey Eyes,Black Hair,Male Characters,Marvel
Mary Jane Watson (Earth-616),Good Characters,Green Eyes,Red Hair,Female Characters,Marvel
John Jonah Jameson (Earth-616),Neutral Characters,Blue Eyes,Black Hair,Male Characters,Marvel
Robert Drake (Earth-616),Good Characters,Brown Eyes,Brown Hair,Male Characters,Marvel
Henry Pym (Earth-616),Good Characters,Blue Eyes,Blond Hair,Male Characters,Marvel
Charles Xavier (Earth-616),Good Characters,Blue Eyes,Bald,Male Characters,Marvel
Warren Worthington III (Earth-616),Good Characters,Blue Eyes,Blond Hair,Male Characters,Marvel
Piotr Rasputin (Earth-616),Good Characters,Blue Eyes,Black Hair,Male Characters,Marvel
Wanda Maximoff (Earth-616),Good Characters,Green Eyes,Brown Hair,Female Characters,Marvel
Nicholas Fury (Earth-616),Neutral Characters,Brown Eyes,Brown Hair,Male Characters,Marvel
Janet van Dyne (Earth-616),Good Characters,Blue Eyes,Auburn Hair,Female Characters,Marvel
Jean Grey (Earth-616),Good Characters,Green Eyes,Red Hair,Female Characters,Marvel
Natalia Romanova (Earth-616),Good Characters,Green Eyes,Red Hair,Female Characters,Marvel
Kurt Wagner (Earth-616),Good Characters,Yellow Eyes,Blue Hair,Male Characters,Marvel
Vision (Earth-616),Good Characters,Gold Eyes,No Hair,Male Characters,Marvel
May Reilly (Earth-616),Good Characters,Blue Eyes,Grey Hair,Female Characters,Marvel
Katherine Pryde (Earth-616),Good Characters,Hazel Eyes,Brown Hair,Female Characters,Marvel
Carol Danvers (Earth-616),Good Characters,Blue Eyes,Blond Hair,Female Characters,Marvel
Jennifer Walters (Earth-616),Good Characters,Green Eyes,Brown Hair,Female Characters,Marvel
Emma Frost (Earth-616),Neutral Characters,Blue Eyes,Brown Hair,Female Characters,Marvel
Frank Castle (Earth-616),Neutral Characters,Blue Eyes,Black Hair,Male Characters,Marvel
Luke Cage (Earth-616),Good Characters,Brown Eyes,Black Hair,Male Characters,Marvel
Rogue (Anna Marie) (Earth-616),Good Characters,Green Eyes,Auburn Hair,Female Characters,Marvel
Conan (Earth-616),Neutral Characters,Blue Eyes,Black Hair,Male Characters,Marvel
Joseph Robertson (Earth-616),Good Characters,Brown Eyes,White Hair,Male Characters,Marvel
Pietro Maximoff (Earth-616),Good Characters,Blue Eyes,Silver Hair,Male Characters,Marvel
Hercules (Earth-616),Good Characters,Blue Eyes,Brown Hair,Male Characters,Marvel
Victor von Doom (Earth-616),Bad Characters,Brown Eyes,Brown Hair,Male Characters,Marvel
Max Eisenhardt (Earth-616),Neutral Characters,Grey Eyes,Bald,Male Characters,Marvel
Elizabeth Braddock (Earth-616),Neutral Characters,Blue Eyes,Purple Hair,Female Characters,Marvel
Norrin Radd (Earth-616),Good Characters,Blue Eyes,Bald,Male Characters,Marvel
Norman Osborn (Earth-616),Bad Characters,Blue Eyes,Auburn Hair,Male Characters,Marvel
Eugene Thompson (Earth-616),Good Characters,Blue Eyes,Strawberry Blond Hair,Male Characters,Marvel
Simon Williams (Earth-616),Good Characters,Red Eyes,Grey Hair,Male Characters,Marvel
Samuel Guthrie (Earth-616),Good Characters,Blue Eyes,Blond Hair,Male Characters,Marvel
James Buchanan Barnes (Earth-616),Good Characters,Brown Eyes,Brown Hair,Male Characters,Marvel
Remy LeBeau (Earth-616),Good Characters,Black Eyeballs,Brown Hair,Male Characters,Marvel
Daniel Rand (Earth-616),Good Characters,Blue Eyes,Blond Hair,Male Characters,Marvel
Nathan Summers (Earth-616),Neutral Characters,Blue Eyes,White Hair,Male Characters,Marvel
Elizabeth Brant (Earth-616),Good Characters,Brown Eyes,Brown Hair,Female Characters,Marvel
Richard Jones (Earth-616),Good Characters,Brown Eyes,Brown Hair,Male Characters,Marvel
Edwin Jarvis (Earth-616),Good Characters,Blue Eyes,White Hair,Male Characters,Marvel
Alexander Summers (Earth-616),Good Characters,Blue Eyes,Blond Hair,Male Characters,Marvel
Patricia Walker (Earth-616),Good Characters,Blue Eyes,Red Hair,Female Characters,Marvel
Human Torch (Android) (Earth-616),Good Characters,Blue Eyes,Blond Hair,Male Characters,Marvel
Loki Laufeyson (Earth-616),Neutral Characters,Green Eyes,Black Hair,Genderfluid Characters,Marvel
Franklin Nelson (Earth-616),Good Characters,Blue Eyes,Bald,Male Characters,Marvel
Brian Braddock (Earth-616),Good Characters,Blue Eyes,Blond Hair,Male Characters,Marvel
Otto Octavius (Earth-616),Neutral Characters,Hazel Eyes,Brown Hair,Male Characters,Marvel
James Rhodes (Earth-616),Good Characters,Brown Eyes,Brown Hair,Male Characters,Marvel
Timothy Dugan (Earth-616),Good Characters,Blue Eyes,Red Hair,Male Characters,Marvel
Crystalia Amaquelin (Earth-616),Good Characters,Green Eyes,Strawberry Blond Hair,Female Characters,Marvel
Samuel Wilson (Earth-616),Good Characters,Brown Eyes,Black Hair,Male Characters,Marvel
Wilson Fisk (Earth-616),Bad Characters,Blue Eyes,Bald,Male Characters,Marvel
Odin Borson (Earth-616),Neutral Characters,Blue Eyes,White Hair,Male Characters,Marvel
Deadpool (Wade Wilson),Neutral Characters,Brown Eyes,Bald,Male Characters,Marvel
Dane Whitman (Earth-616),Good Characters,Brown Eyes,Brown Hair,Male Characters,Marvel
Harold Osborn (Earth-616),Good Characters,Blue Eyes,Brown Hair,Male Characters,Marvel
Franklin Richards (Earth-616),Good Characters,Blue Eyes,Blond Hair,Male Characters,Marvel
Jessica Drew (Earth-616),Good Characters,Green Eyes,Auburn Hair,Female Characters,Marvel
Roberto da Costa (Earth-616),Good Characters,Brown Eyes,Black Hair,Male Characters,Marvel
Rahne Sinclair (Earth-616),Good Characters,Green Eyes,Red Hair,Female Characters,Marvel
Elizabeth Ross (Earth-616),Good Characters,Blue Eyes,Black Hair,Female Characters,Marvel
Lorna Dane (Earth-616),Good Characters,Green Eyes,Green Hair,Female Characters,Marvel
Blaine Colt (Earth-616),,Blue Eyes,Blond Hair,Male Characters,Marvel
Johnathon Blaze (Earth-616),Good Characters,Blue Eyes,Reddish Blond Hair,Male Characters,Marvel
Sif (Earth-616),Good Characters,Blue Eyes,Black Hair,Female Characters,Marvel
Red Hulk (Thaddeus Ross),Neutral Characters,Blue Eyes,Black Hair,Male Characters,Marvel
Jubilation Lee (Earth-616),Good Characters,Brown Eyes,Black Hair,Female Characters,Marvel
Volstagg (Earth-616),Good Characters,Blue Eyes,Red Hair,Male Characters,Marvel
Balder Odinson (Earth-616),Good Characters,Blue Eyes,Brown Hair,Male Characters,Marvel
Galactus (Earth-616),Neutral Characters,Brown Eyes,No Hair,Male Characters,Marvel
Danielle Moonstar (Earth-616),Good Characters,Brown Eyes,Black Hair,Female Characters,Marvel
Marc Spector (Earth-616),Good Characters,Brown Eyes,Brown Hair,Male Characters,Marvel
Gwendolyne Stacy (Earth-616),Good Characters,Blue Eyes,Blond Hair,Female Characters,Marvel
Medusalith Amaquelin (Earth-616),Good Characters,Green Eyes,Red Hair,Female Characters,Marvel
Sabretooth (Victor Creed),Bad Characters,Amber Eyes,Blond Hair,Male Characters,Marvel
Illyana Rasputina (Earth-616),Neutral Characters,Blue Eyes,Blond Hair,Female Characters,Marvel
Johann Shmidt (Earth-616),Bad Characters,Blue Eyes,Blond Hair,Male Characters,Marvel
Fandral (Earth-616),Good Characters,Blue Eyes,Blond Hair,Male Characters,Marvel
Sean Cassidy (Earth-616),Neutral Characters,Green Eyes,Strawberry Blond Hair,Male Characters,Marvel
Thomas Raymond (Earth-616),Good Characters,Blue Eyes,Black Hair,Male Characters,Marvel
Uatu (Earth-616),Good Characters,Blue Eyes,Bald,Male Characters,Marvel
Richard Rider (Earth-616),Good Characters,Brown Eyes,Brown Hair,Male Characters,Marvel
Hogun (Earth-616),Good Characters,Grey Eyes,Black Hair,Male Characters,Marvel
Raven Darkholme (Earth-616),Bad Characters,Yellow Eyes,Red Hair,Female Characters,Marvel
Barbara Morse (Earth-616),Good Characters,Blue Eyes,Blond Hair,Female Characters,Marvel
Blackagar Boltagon (Earth-616),Good Characters,Blue Eyes,Black Hair,Male Characters,Marvel
Brunnhilde (Earth-616),Good Characters,Blue Eyes,Blond Hair,Female Characters,Marvel
Alison Blaire (Earth-616),Good Characters,Blue Eyes,Strawberry Blond Hair,Female Characters,Marvel
Venom (Symbiote) (Earth-616),Neutral Characters,Variable Eyes,No Hair,Agender Characters,Marvel
John Walker (Earth-616),Good Characters,Blue Eyes,Blond Hair,Male Characters,Marvel
Greer Grant (Earth-616),Good Characters,Green Eyes,Black Hair,Female Characters,Marvel
Karla Sofen (Earth-616),Neutral Characters,Blue Eyes,Blond Hair,Female Characters,Marvel
William Baker (Earth-616),Neutral Characters,Brown Eyes,Brown Hair,Male Characters,Marvel
Sharon Carter (Earth-616),Good Characters,Blue Eyes,Blond Hair,Female Characters,Marvel
Felicia Hardy (Earth-616),Bad Characters,,Blond Hair,Female Characters,Marvel
Cain Marko (Earth-616),Neutral Characters,Blue Eyes,Red Hair,Male Characters,Marvel
Monica Rambeau (Earth-616),Good Characters,Brown Eyes,Black Hair,Female Characters,Marvel
Maria Hill (Earth-616),Good Characters,Brown Eyes,Black Hair,Female Characters,Marvel
Ben Urich (Earth-616),Good Characters,Brown Eyes,Brown Hair,Male Characters,Marvel
Heather Douglas (Earth-616),Good Characters,Blue Eyes,Bald,Female Characters,Marvel
Millicent Collins (Earth-616),,Blue Eyes,Blond Hair,Female Characters,Marvel
James Proudstar (Earth-616),Good Characters,Brown Eyes,Black Hair,Male Characters,Marvel
Angelica Jones (Earth-616),Good Characters,Green Eyes,Red Hair,Female Characters,Marvel
Edward Brock (Earth-616),Neutral Characters,Black Eyes,Blond Hair,Male Characters,Marvel
MacDonald Gargan (Earth-616),Bad Characters,Brown Eyes,Bald,Male Characters,Marvel
Mephisto (Earth-616),Bad Characters,White Eyes,Black Hair,Male Characters,Marvel
Tabitha Smith (Earth-616),Good Characters,Blue Eyes,Blond Hair,Female Characters,Marvel
Jean-Paul Beaubier (Earth-616),Good Characters,Blue Eyes,Black Hair,Male Characters,Marvel
Daniel Ketch (Earth-616),Neutral Characters,Green Eyes,Brown Hair,Male Characters,Marvel
Neena Thurman (Earth-616),Good Characters,Blue Eyes,Black Hair,Female Characters,Marvel
Wong (Earth-616),Good Characters,Brown Eyes,Bald,Male Characters,Marvel
Thanos (Earth-616),Bad Characters,Red Eyes,No Hair,Male Characters,Marvel
Shang-Chi (Earth-616),Good Characters,Brown Eyes,Black Hair,Male Characters,Marvel
Alicia Masters (Earth-616),Good Characters,Brown Eyes,Strawberry Blond Hair,Female Characters,Marvel
Robert Baldwin (Earth-616),Good Characters,Blue Eyes,Blond Hair,Male Characters,Marvel
Vance Astrovik (Earth-616),Good Characters,Hazel Eyes,Brown Hair,Male Characters,Marvel
Wendell Vaughn (Earth-616),Good Characters,Blue Eyes,Blond Hair,Male Characters,Marvel
Chili Storm (Earth-616),,Green Eyes,Red Hair,Female Characters,Marvel
Abner Jenkins (Earth-616),Good Characters,Brown Eyes,Brown Hair,Male Characters,Marvel
Elektra Natchios (Earth-616),Neutral Characters,Blue Eyes,Black Hair,Female Characters,Marvel
Bullseye (Lester) (Earth-616),Bad Characters,Blue Eyes,Blond Hair,Male Characters,Marvel
Forge (Earth-616),Good Characters,Brown Eyes,Black Hair,Male Characters,Marvel
Virginia Potts (Earth-616),Good Characters,Green Eyes,Red Hair,Female Characters,Marvel
Walter Langkowski (Earth-616),Good Characters,Blue Eyes,Blond Hair,Male Characters,Marvel
Gorgon (Earth-616),Good Characters,Brown Eyes,Brown Hair,Male Characters,Marvel
James Madrox (Earth-616),Good Characters,Brown Eyes,Brown Hair,Male Characters,Marvel
Heimdall (Earth-616),Good Characters,Grey Eyes,Brown Hair,Male Characters,Marvel
Theresa Cassidy (Earth-616),Good Characters,Green Eyes,Red Hair,Female Characters,Marvel
Laura Kinney (Earth-616),Good Characters,Green Eyes,Black Hair,Female Characters,Marvel
Arthur Douglas (Earth-616),Good Characters,Blue Eyes,Brown Hair,Male Characters,Marvel
Peter Parker (Ben Reilly) (Earth-616),Good Characters,Hazel Eyes,Blond Hair,Male Characters,Marvel
Warlock (Technarch) (Earth-616),Good Characters,Black Eyes,No Hair,Male Characters,Marvel
Kevin Plunder (Earth-616),Good Characters,Blue Eyes,Blond Hair,Male Characters,Marvel
Leonard Samson (Earth-616),Good Characters,Brown Eyes,Green Hair,Male Characters,Marvel
Melissa Gold (Earth-616),Good Characters,Green Eyes,Blond Hair,Female Characters,Marvel
Lockheed (Earth-616),Good Characters,,No Hair,Male Characters,Marvel
Mercedes Knight (Earth-616),Good Characters,Brown Eyes,Black Hair,Female Characters,Marvel
Moira Kinross (Earth-616),Good Characters,Blue Eyes,Brown Hair,Female Characters,Marvel
Karnak (Earth-616),Good Characters,Blue Eyes,Black Hair,Male Characters,Marvel
Namorita Prentiss (Earth-616),Good Characters,Blue Eyes,Blond Hair,Female Characters,Marvel
Lockjaw (Earth-616),Good Characters,Brown Eyes,Brown Hair,Male Characters,Marvel
Adam Warlock (Earth-616),Good Characters,White Eyes,Gold Hair,Male Characters,Marvel
Heather McNeil (Earth-616),Neutral Characters,Green Eyes,Red Hair,Female Characters,Marvel
Curtis Connors (Earth-616),Neutral Characters,Red Eyes,No Hair,Male Characters,Marvel
Theodore Sallis (Earth-616),Good Characters,Red Eyes,No Hair,Male Characters,Marvel
Adrian Toomes (Earth-616),Bad Characters,Hazel Eyes,Bald,Male Characters,Marvel
Amora (Earth-616),Bad Characters,Green Eyes,Blond Hair,Female Characters,Marvel
Clea (Earth-616),Good Characters,Blue Eyes,White Hair,Female Characters,Marvel
Mar-Vell (Earth-616),Good Characters,Blue Eyes,Blond Hair,Male Characters,Marvel
Eugene Judd (Earth-616),Good Characters,Brown Eyes,Bald,Male Characters,Marvel
Daimon Hellstrom (Earth-616),Neutral Characters,Red Eyes,Red Hair,Male Characters,Marvel
John Jonah Jameson III (Earth-616),Good Characters,Brown Eyes,Auburn Hair,Male Characters,Marvel
Triton (Earth-616),Good Characters,Green Eyes,No Hair,Male Characters,Marvel
Meggan Puceanu (Earth-616),Good Characters,,,Female Characters,Marvel
Robert Reynolds (Earth-616),Neutral Characters,Blue Eyes,Blond Hair,Male Characters,Marvel
Aleksei Sytsevich (Earth-616),Bad Characters,Brown Eyes,Brown Hair,Male Characters,Marvel
Santo Vaccarro (Earth-616),Good Characters,White Eyes,No Hair,Male Characters,Marvel
Jonathan Clay (Earth-616),Good Characters,Blue Eyes,Red Hair,Male Characters,Marvel
Ares (Earth-616),Neutral Characters,Brown Eyes,Brown Hair,Male Characters,Marvel
Sersi (Earth-616),Good Characters,Blue Eyes,Black Hair,Female Characters,Marvel
Guido Carosella (Earth-616),Neutral Characters,Brown Eyes,Bald,Male Characters,Marvel
Zabu (Earth-616),Good Characters,Green Eyes,Orange Hair,Male Characters,Marvel
Michael Morbius (Earth-616),Neutral Characters,Red Eyes,Black Hair,Male Characters,Marvel
Julio Richter (Earth-616),Good Characters,Brown Eyes,Brown Hair,Male Characters,Marvel
Phoenix Force (Earth-616),Neutral Characters,,No Hair,,Marvel
Megan Gwynn (Earth-616),Good Characters,Black Eyeballs,Pink Hair,Female Characters,Marvel
Kyle Richmond (Earth-616),Good Characters,Brown Eyes,Auburn Hair,Male Characters,Marvel
Karen Page (Earth-616),Good Characters,Blue Eyes,Blond Hair,Female Characters,Marvel
Tyrone Johnson (Earth-616),Good Characters,Brown Eyes,Black Hair,Male Characters,Marvel
Maxwell Dillon (Earth-616),Bad Characters,Blue Eyes,Auburn Hair,Male Characters,Marvel
Valerie Cooper (Earth-616),Good Characters,Blue Eyes,Blond Hair,Female Characters,Marvel
Anna May (Earth-616),Good Characters,Blue Eyes,White Hair,Female Characters,Marvel
Vlad Dracula (Earth-616),Bad Characters,Red Eyes,White Hair,Male Characters,Marvel
Tandy Bowen (Earth-616),Good Characters,Blue Eyes,Blond Hair,Female Characters,Marvel
Monet St. Croix (Earth-616),Good Characters,Brown Eyes,Black Hair,Female Characters,Marvel
Gamora (Earth-616),Neutral Characters,Yellow Eyes,Black Hair,Female Characters,Marvel
Amara Aquilla (Earth-616),Good Characters,Blue Eyes,Blond Hair,Female Characters,Marvel
Julia Carpenter (Earth-616),Good Characters,Blue Eyes,Strawberry Blond Hair,Female Characters,Marvel
Jane Foster (Earth-616),Good Characters,Blue Eyes,Brown Hair,Female Characters,Marvel
Mortimer Toynbee (Earth-616),Neutral Characters,Black Eyes,Brown Hair,Male Characters,Marvel
Scott Lang (Earth-616),Good Characters,Blue Eyes,Strawberry Blond Hair,Male Characters,Marvel
Paige Guthrie (Earth-616),Good Characters,Blue Eyes,Blond Hair,Female Characters,Marvel
Benjamin Parker (Earth-616),Good Characters,Blue Eyes,Brown Hair,Male Characters,Marvel
Erik Josten (Earth-616),Good Characters,Brown Eyes,Red Hair,Male Characters,Marvel
Jeanne-Marie Beaubier (Earth-616),Good Characters,Blue Eyes,Black Hair,Female Characters,Marvel
Carl Creel (Earth-616),Bad Characters,Blue Eyes,Bald,Male Characters,Marvel
Gloria Grant (Earth-616),,Brown Eyes,Black Hair,Female Characters,Marvel
Michael Twoyoungmen (Earth-616),Good Characters,Brown Eyes,Black Hair,Male Characters,Marvel
Hope Summers (Earth-616),Good Characters,Green Eyes,Red Hair,Female Characters,Marvel
Eric Masterson (Earth-616),Good Characters,Blue Eyes,Blond Hair,Male Characters,Marvel
Alexander Power (Earth-616),Good Characters,Blue Eyes,Blond Hair,Male Characters,Marvel
Matthew Hawk (Earth-616),Good Characters,Blue Eyes,Brown Hair,Male Characters,Marvel
Jessica Jones (Earth-616),Good Characters,Brown Eyes,Brown Hair,Female Characters,Marvel
Frederick Dukes (Earth-616),Bad Characters,Brown Eyes,Brown Hair,Male Characters,Marvel
Eric Brooks (Earth-616),Good Characters,Brown Eyes,Black Hair,Male Characters,Marvel
Eros (Earth-616),Good Characters,Blue Eyes,Red Hair,Male Characters,Marvel
Madison Jeffries (Earth-616),Good Characters,Brown Eyes,Black Hair,Male Characters,Marvel
Mandarin (Earth-616),Bad Characters,Blue Eyes,Black Hair,Male Characters,Marvel
The Wizard (Earth-616),Bad Characters,Hazel Eyes,Brown Hair,Male Characters,Marvel
Akihiro (Earth-616),Bad Characters,Blue Eyes,Black Hair,Male Characters,Marvel
Sergei Kravinoff (Earth-616),Bad Characters,Brown Eyes,Black Hair,Male Characters,Marvel
Jonothon Starsmore (Earth-616),Good Characters,Brown Eyes,Brown Hair,Male Characters,Marvel
Helmut Zemo (Earth-616),Bad Characters,Blue Eyes,Blond Hair,Male Characters,Marvel
Victor Borkowski (Earth-616),Good Characters,Brown Eyes,Black Hair,Male Characters,Marvel
Edward Leeds (Earth-616),Neutral Characters,Blue Eyes,Brown Hair,Male Characters,Marvel
Ultron (Earth-616),Bad Characters,Red Eyes,No Hair,Male Characters,Marvel
Douglas Ramsey (Earth-616),Good Characters,Blue Eyes,Blond Hair,Male Characters,Marvel
Quentin Beck (Earth-616),Bad Characters,Blue Eyes,Bald,Male Characters,Marvel
Herbert Wyndham (Earth-616),Neutral Characters,Brown Eyes,Brown Hair,Male Characters,Marvel
Julian Keller (Earth-616),Good Characters,Blue Eyes,Black Hair,Male Characters,Marvel
Jack Russell (Earth-616),Good Characters,Blue Eyes,Red Hair,Male Characters,Marvel
Celeste Cuckoo (Earth-616),Good Characters,Blue Eyes,Blond Hair,Female Characters,Marvel
Valentina Allegra de Fontaine (Earth-616),Neutral Characters,Blue Eyes,Black Hair,Female Characters,Marvel
Ophelia Sarkissian (Earth-616),Bad Characters,Green Eyes,Black Hair,Female Characters,Marvel
Colleen Wing (Earth-616),Good Characters,Blue Eyes,Auburn Hair,Female Characters,Marvel
Irma Cuckoo (Earth-616),Good Characters,Blue Eyes,Black Hair,Female Characters,Marvel
Sebastian Shaw (Earth-616),Neutral Characters,Blue Eyes,Black Hair,Male Characters,Marvel
Phoebe Cuckoo (Earth-616),Good Characters,Blue Eyes,Blond Hair,Female Characters,Marvel
Sage (Earth-616),Good Characters,Blue Eyes,Black Hair,Female Characters,Marvel
Valeria Richards (Earth-616),Good Characters,Blue Eyes,Blond Hair,Female Characters,Marvel
Donald Blake (Earth-616),Good Characters,Blue Eyes,Blond Hair,Male Characters,Marvel
Hela (Earth-616),Bad Characters,Green Eyes,Black Hair,Female Characters,Marvel
Lilandra Neramani (Earth-616),Good Characters,Orange Eyes,Black Hair,Female Characters,Marvel
Henry Gyrich (Earth-616),Bad Characters,Green Eyes,Red Hair,Male Characters,Marvel
Dwayne Taylor (Earth-616),Good Characters,Brown Eyes,Black Hair,Male Characters,Marvel
Harold Hogan (Earth-616),Good Characters,Brown Eyes,Brown Hair,Male Characters,Marvel
Redwing (Earth-616),,Yellow Eyes,,Male Characters,Marvel
Christopher Powell (Earth-616),Good Characters,Brown Eyes,Brown Hair,Male Characters,Marvel
Harvey Elder (Earth-616),Bad Characters,Brown Eyes,Grey Hair,Male Characters,Marvel
Wolfgang von Strucker (Earth-616),Bad Characters,Blue Eyes,Bald,Male Characters,Marvel
Dirk Garthwaite (Earth-616),Bad Characters,Blue Eyes,Brown Hair,Male Characters,Marvel
Pip Gofern (Earth-616),Good Characters,Green Eyes,Red Hair,Male Characters,Marvel
Tony Masters (Earth-616),Neutral Characters,Brown Eyes,Brown Hair,Male Characters,Marvel
David Lieberman (Earth-616),Neutral Characters,Green Eyes,Brown Hair,Male Characters,Marvel
James Hudson (Earth-616),Good Characters,Brown Eyes,Black Hair,Male Characters,Marvel
Miles Warren (Earth-616),Bad Characters,Green Eyes,No Hair,Male Characters,Marvel
Kallark (Earth-616),Neutral Characters,Blue Eyes,Blue Hair,Male Characters,Marvel
En Sabah Nur (Earth-616),Bad Characters,Red Eyes,Black Hair,Male Characters,Marvel
Shiro Yoshida (Earth-616),Good Characters,Black Eyes,Black Hair,Male Characters,Marvel
Silver Sablinova (Earth-616),Good Characters,Blue Eyes,Silver Hair,Female Characters,Marvel
Elvin Haliday (Earth-616),Good Characters,Brown Eyes,Bald,Male Characters,Marvel
James Bradley (Earth-616),Good Characters,Blue Eyes,Black Hair,Male Characters,Marvel
Calvin Zabo (Earth-616),Bad Characters,Brown Eyes,Brown Hair,Male Characters,Marvel
Frederick Myers (Earth-616),Bad Characters,Brown Eyes,Brown Hair,Male Characters,Marvel
Mantis (Earth-616),Good Characters,Green Eyes,Black Hair,Female Characters,Marvel
Marlene Alraune (Earth-616),Good Characters,Blue Eyes,Blond Hair,Female Characters,Marvel
Rachel Leighton (Earth-616),Good Characters,Green Eyes,Brown Hair,Female Characters,Marvel
Veranke (Earth-616),Bad Characters,Green Eyes,Green Hair,Female Characters,Marvel
Nathaniel Essex (Earth-616),Bad Characters,Red Eyes,Black Hair,Male Characters,Marvel
Anthony Druid (Earth-616),Good Characters,Green Eyes,Black Hair,Male Characters,Marvel
Cassandra Lang (Earth-616),Good Characters,Blue Eyes,Blond Hair,Female Characters,Marvel
Beta Ray Bill (Earth-616),Good Characters,White Eyes,No Hair,Male Characters,Marvel
Samuel Sterns (Earth-616),Bad Characters,Red Eyes,Black Hair,Male Characters,Marvel
Leech (Earth-616),Good Characters,White Eyes,No Hair,Male Characters,Marvel
Glenn Talbot (Earth-616),Neutral Characters,Blue Eyes,Brown Hair,Male Characters,Marvel
Bug (Earth-616),Good Characters,Yellow Eyes,Green Hair,Male Characters,Marvel
Peter Petruski (Earth-616),Bad Characters,Brown Eyes,Bald,Male Characters,Marvel
Julie Power (Earth-616),Good Characters,Blue Eyes,Strawberry Blond Hair,Female Characters,Marvel
Giuletta Nefaria (Earth-616),Bad Characters,Grey Eyes,Black Hair,Female Characters,Marvel
Robert Ralston (Earth-616),Good Characters,Blue Eyes,Blond Hair,Male Characters,Marvel
Maximus (Earth-616),Neutral Characters,Blue Eyes,Black Hair,Male Characters,Marvel
Genis-Vell (Earth-616),Good Characters,Blue Eyes,Blond Hair,Male Characters,Marvel
Hisako Ichiki (Earth-616),Good Characters,Black Eyes,Black Hair,Female Characters,Marvel
Dmitri Smerdyakov (Earth-616),Bad Characters,Variable Eyes,Variable Hair,Male Characters,Marvel
Eliot Franklin (Thunderball) (Earth-616),Bad Characters,Brown Eyes,Black Hair,Male Characters,Marvel
X-51 (Earth-616),Good Characters,Red Eyes,Black Hair,Male Characters,Marvel
Madelyne Pryor (Earth-616),Bad Characters,Green Eyes,Red Hair,Female Characters,Marvel
Adolf Hitler (Earth-616),Bad Characters,Brown Eyes,Brown Hair,Male Characters,Marvel
Herman Schultz (Earth-616),Bad Characters,Brown Eyes,Brown Hair,Male Characters,Marvel
Noriko Ashida (Earth-616),Good Characters,Brown Eyes,Black Hair,Female Characters,Marvel
Chen Lu (Earth-616),Bad Characters,Brown Eyes,Bald,Male Characters,Marvel
Ulysses Klaw (Earth-616),Bad Characters,Red Eyes,Bald,Male Characters,Marvel
Cessily Kincaid (Earth-616),Good Characters,Silver Eyes,Red Hair,Female Characters,Marvel
Kyle Gibney (Earth-616),Neutral Characters,Blue Eyes,Blond Hair,Male Characters,Marvel
Jack Monroe (Earth-616),Good Characters,Brown Eyes,Brown Hair,Male Characters,Marvel
Madeline Joyce (Earth-616),Good Characters,Blue Eyes,Brown Hair,Female Characters,Marvel
George Tarleton (Earth-616),Bad Characters,White Eyes,Brown Hair,Male Characters,Marvel
Jocasta (Earth-616),Good Characters,Red Eyes,No Hair,Female Characters,Marvel
Peter Wisdom (Earth-616),Good Characters,Blue Eyes,Black Hair,Male Characters,Marvel
Jeffrey Mace (Earth-616),Good Characters,Blue Eyes,Black Hair,Male Characters,Marvel
Aquaria Neptunia (Earth-616),Good Characters,Blue Eyes,Blond Hair,Female Characters,Marvel
Dragon Man (Earth-616),Good Characters,Grey Eyes,No Hair,Male Characters,Marvel
Narya (Earth-616),Good Characters,White Eyes,Blond Hair,Female Characters,Marvel
Burglar (Earth-616),Bad Characters,Blue Eyes,Blond Hair,Male Characters,Marvel
Dino Manelli (Earth-616),Good Characters,,Black Hair,Male Characters,Marvel
Peter Parker (Kaine) (Earth-616),Good Characters,Hazel Eyes,Brown Hair,Male Characters,Marvel
Nightmare (Earth-616),Bad Characters,Black Eyes,Black Hair,Male Characters,Marvel
Ronan (Earth-616),Neutral Characters,Blue Eyes,Brown Hair,Male Characters,Marvel
Thomas Halloway (Earth-616),Good Characters,Brown Eyes,White Hair,Male Characters,Marvel
Jasper Sitwell (Earth-616),Good Characters,Blue Eyes,Blond Hair,Male Characters,Marvel
Frank Payne (Earth-616),Neutral Characters,,Bald,Male Characters,Marvel
Paladin (Earth-616),Neutral Characters,Brown Eyes,Brown Hair,Male Characters,Marvel
Steel (Earth-616),Good Characters,,White Hair,Male Characters,Marvel
Mad Thinker (Earth-616),Bad Characters,Blue Eyes,Brown Hair,Male Characters,Marvel
Brian Calusky (Earth-616),Bad Characters,Blue Eyes,Blond Hair,Male Characters,Marvel
Arthur Maddicks (Earth-616),Good Characters,White Eyes,No Hair,Male Characters,Marvel
Hedy Wolfe (Earth-616),,Hazel Eyes,Black Hair,Female Characters,Marvel
Isadore Cohen (Earth-616),Good Characters,,,Male Characters,Marvel
Dormammu (Earth-616),Bad Characters,Yellow Eyes,No Hair,Male Characters,Marvel
Makkari (Earth-616),Good Characters,Blue Eyes,Strawberry Blond Hair,Male Characters,Marvel
Marlo Chandler (Earth-616),Good Characters,Blue Eyes,Red Hair,Female Characters,Marvel
