name,ALIGN,EYE,HAIR,SEX,Publisher
Aradnea (Earth-616),Bad Characters,,Black Hair,Female Characters,Marvel
Bruiser (Mercenary) (Earth-616),Bad Characters,,,Male Characters,Marvel
Jeremy Briggs (Earth-616),Bad Characters,Brown Eyes,Brown Hair,Male Characters,Marvel
Marcus Roston (Earth-616),Bad Characters,Green Eyes,Black Hair,Male Characters,Marvel
Nul (Earth-616),Bad Characters,White Eyes,Bald,Male Characters,Marvel
Omegex (Earth-616),Bad Characters,,,Male Characters,Marvel
Radioactive Kid (Earth-616),Bad Characters,White Eyes,No Hair,Male Characters,Marvel
Seeker (Earth-616),Neutral Characters,Black Eyes,Black Hair,Male Characters,Marvel
Stephanie Gerard (Earth-616),Bad Characters,Blue Eyes,,Female Characters,Marvel
Dancing Water (Earth-616),Bad Characters,White Eyes,Blue Hair,Female Characters,Marvel
Doyle (Earth-616),,Brown Eyes,Black Hair,Male Characters,Marvel
Helen Cobb (Earth-616),Good Characters,Blue Eyes,Blond Hair,Female Characters,Marvel
Marin (Earth-616),,,Black Hair,Male Characters,Marvel
Omega Black (Earth-616),Bad Characters,Brown Eyes,Black Hair,Female Characters,Marvel
Charlie Cluster-7 (Weapon XIII) (Earth-616),Bad Characters,Blue Eyes,Black Hair,Male Characters,Marvel
Owen Backes (Earth-616),Neutral Characters,Brown Eyes,Blond Hair,Male Characters,Marvel
Principal Philbin (Earth-616),Good Characters,Blue Eyes,Bald,Male Characters,Marvel
Sojobo-Tengu (Earth-616),Neutral Characters,Black Eyes,Black Hair,Male Characters,Marvel
The Origamist (Legion Personality) (Earth-616),Neutral Characters,Black Eyes,Black Hair,Male Characters,Marvel
The Philistine (Earth-616),Bad Characters,Blue Eyes,Blond Hair,Male Characters,Marvel
Edward Marks (Earth-616),Good Characters,,,Male Characters,Marvel
Isparana (Earth-616),,Black Eyes,Black Hair,Female Characters,Marvel
Kindra (Earth-616),Good Characters,,Blond Hair,Female Characters,Marvel
Meltdown (Russian) (Earth-616),Bad Characters,,,Male Characters,Marvel
Mist (Earth-616),Good Characters,,Blond Hair,Female Characters,Marvel
Thunder (Two-Gun Kid) (Earth-616),Good Characters,,,,Marvel
Adolf Impossible (Earth-616),Good Characters,Black Eyes,No Hair,Male Characters,Marvel
Arkea (Earth-616),Bad Characters,Variable Eyes,Variable Hair,Female Characters,Marvel
Bartol Utler (Earth-616),Bad Characters,Blue Eyes,Brown Hair,Male Characters,Marvel
Disha Khan (Earth-616),Neutral Characters,Brown Eyes,Brown Hair,Female Characters,Marvel
Fuel (Earth-616),Neutral Characters,Grey Eyes,Black Hair,Male Characters,Marvel
Karl Moffet (Earth-616),Bad Characters,Blue Eyes,Black Hair,Male Characters,Marvel
Mark Sim (Earth-616),Good Characters,Blue Eyes,Black Hair,Male Characters,Marvel
Mysterion (Earth-616),Bad Characters,Brown Eyes,Black Hair,Male Characters,Marvel
Nikoleta Harrow (Earth-616),Bad Characters,Blue Eyes,Black Hair,Female Characters,Marvel
Rosalind Solomon (Earth-616),Good Characters,Blue Eyes,Brown Hair,Female Characters,Marvel
Victor Kohl (Earth-616),Bad Characters,Blue Eyes,Black Hair,Male Characters,Marvel
Chaka (Earth-616),Good Characters,,Brown Hair,Male Characters,Marvel
Lagaro (Earth-616),Good Characters,Brown Eyes,Brown Hair,Male Characters,Marvel
Spencer Keen (Earth-616),Good Characters,Blue Eyes,Black Hair,Male Characters,Marvel
Eric Hertz (Earth-616),Bad Characters,,Black Hair,Male Characters,Marvel
Pat Murphy (Earth-616),Good Characters,,,Male Characters,Marvel
Tuk (Earth-616),Good Characters,Blue Eyes,Red Hair,Male Characters,Marvel
Erwin Rommel (Earth-616),Bad Characters,,Bald,Male Characters,Marvel
Napoleon Sickles (Earth-616),Neutral Characters,,Black Hair,Male Characters,Marvel
Joshua Walker (Earth-616),Good Characters,,Black Hair,Male Characters,Marvel
Mickey Walker (Earth-616),Good Characters,,Blond Hair,Male Characters,Marvel
Mary Varnheim (Earth-616),Bad Characters,,Red Hair,Female Characters,Marvel
Ted Banning (Earth-616),Good Characters,,Brown Hair,Male Characters,Marvel
Henry Mortonson (Earth-616),Bad Characters,Green Eyes,Bald,Male Characters,Marvel
Packrat Pete (Earth-616),Good Characters,,Grey Hair,Male Characters,Marvel
Grey Eagle (Earth-616),Good Characters,,Black Hair,Male Characters,Marvel
Red Warrior (Earth-616),Good Characters,,Black Hair,Male Characters,Marvel
Running Moose (Earth-616),Bad Characters,,Black Hair,Male Characters,Marvel
Betty Wilson (Earth-616),Good Characters,,,Female Characters,Marvel
Isidoro Scarlotti (Earth-616),Bad Characters,Brown Eyes,Grey Hair,Male Characters,Marvel
"Jack Spears, Jr. (Earth-616)",Good Characters,,Black Hair,Male Characters,Marvel
"Jack Spears, Sr. (Earth-616)",Good Characters,,Black Hair,Male Characters,Marvel
Lo-Zar (Earth-616),Good Characters,,Blond Hair,Male Characters,Marvel
Peter (Leopard Girl Ally) (Earth-616),Good Characters,,Brown Hair,Male Characters,Marvel
Anson Clinton (Earth-616),Good Characters,,Grey Hair,Male Characters,Marvel
Eagle (Matt Slade) (Earth-616),Good Characters,,Grey Hair,Male Characters,Marvel
Gene Bitner (Earth-616),Neutral Characters,,Bald,Male Characters,Marvel
Simon Lestron (Earth-616),Neutral Characters,,Brown Hair,Male Characters,Marvel
Diablo (Monster) (Earth-616),Bad Characters,,No Hair,Male Characters,Marvel
Gigantus (Aquatic Monster) (Earth-616),Bad Characters,,,Male Characters,Marvel
Kaa (Earth-616),Bad Characters,,,Male Characters,Marvel
Elektro (Earth-616),Neutral Characters,Red Eyes,No Hair,Male Characters,Marvel
Tad Carter (Earth-616),Neutral Characters,,Brown Hair,Male Characters,Marvel
Valeria (Fifth Dimension) (Earth-616),Good Characters,,Black Hair,Female Characters,Marvel
Basallo (Earth-616),Neutral Characters,,No Hair,Male Characters,Marvel
Charlie (Stark Enterprises) (Earth-616),Good Characters,,Brown Hair,Male Characters,Marvel
Chuck (NYPD) (Earth-616),,,Brown Hair,Male Characters,Marvel
Gargantus (Alien Robot) (Earth-616),Bad Characters,,Brown Hair,Male Characters,Marvel
Mao Tse Tung (Earth-616),Bad Characters,,Black Hair,Male Characters,Marvel
Maria Trovaya (Earth-616),Neutral Characters,Black Eyes,Black Hair,Female Characters,Marvel
Pilai (Earth-616),Bad Characters,,No Hair,Male Characters,Marvel
Sandu (Earth-616),Bad Characters,Black Eyes,Black Hair,Male Characters,Marvel
Beasts of Berlin (Earth-616),Bad Characters,,Brown Hair,,Marvel
Bert Rose (Earth-616),Good Characters,,,Male Characters,Marvel
Hoggoth (Earth-616),Good Characters,,No Hair,Male Characters,Marvel
Lee Guardineer (Earth-616),Bad Characters,Blue Eyes,Black Hair,Male Characters,Marvel
Werner von Doom (Earth-616),Good Characters,,Brown Hair,Male Characters,Marvel
Abner Jonas (Earth-616),Bad Characters,Blue Eyes,Brown Hair,Male Characters,Marvel
Blackie (Earth-616),Bad Characters,,Brown Hair,Male Characters,Marvel
Donald Birch (Earth-616),Bad Characters,Brown Eyes,Bald,Male Characters,Marvel
Prowler (The Cat) (Earth-616),Bad Characters,Brown Eyes,Black Hair,Male Characters,Marvel
Shazana (Earth-616),Bad Characters,Green Eyes,Green Hair,Female Characters,Marvel
Adria (Earth-616),Bad Characters,,Black Hair,Female Characters,Marvel
Ossilot (Earth-616),Good Characters,Black Eyes,Brown Hair,Male Characters,Marvel
Pavel Plotnick (Earth-616),Neutral Characters,Black Eyes,Bald,Male Characters,Marvel
Sally Green (Earth-616),Good Characters,,Brown Hair,Female Characters,Marvel
Dawn Fury (Earth-616),,,,Female Characters,Marvel
Demon Riders (Mogul servants) (Earth-616),Bad Characters,,,,Marvel
Forsung (Earth-616),,,Black Hair,Male Characters,Marvel
Ixar (Earth-616),Bad Characters,Blue Eyes,White Hair,Male Characters,Marvel
Jose Santini (Earth-616),,,Black Hair,Male Characters,Marvel
Nebulos (Earth-616),Bad Characters,White Eyes,No Hair,Male Characters,Marvel
Randac (Earth-616),Neutral Characters,Green Eyes,Bald,Male Characters,Marvel
Agent of 1000 Faces (Earth-616),Bad Characters,,,Male Characters,Marvel
Bia (Earth-616),Bad Characters,,,Male Characters,Marvel
Yuri Brevlov (Earth-616),Good Characters,Blue Eyes,Blond Hair,Male Characters,Marvel
Ann Raymond (Earth-616),Good Characters,,,Female Characters,Marvel
Lippy Louie (Earth-616),Bad Characters,Green Eyes,No Hair,Male Characters,Marvel
Napoleon Robberson (Earth-616),Bad Characters,Green Eyes,No Hair,Male Characters,Marvel
Number Two (Sentinel) (Earth-616),Bad Characters,Yellow Eyes,No Hair,,Marvel
Paxton Page (Earth-616),Bad Characters,Blue Eyes,White Hair,Male Characters,Marvel
Mowfus (Earth-616),Neutral Characters,Yellow Eyes,No Hair,Male Characters,Marvel
Spiro Agnew (Earth-616),Neutral Characters,,White Hair,Male Characters,Marvel
Tom Fagan (Earth-616),Good Characters,,Blond Hair,Male Characters,Marvel
Ducalon (Earth-616),Bad Characters,,,Male Characters,Marvel
Enaros (Earth-616),Bad Characters,,Black Hair,Male Characters,Marvel
Holi (Earth-616),Good Characters,,White Hair,Male Characters,Marvel
Klaatu (Earth-616),Bad Characters,White Eyes,No Hair,,Marvel
Moli (Earth-616),Good Characters,,Black Hair,Male Characters,Marvel
Torla (Earth-616),Good Characters,,White Hair,Male Characters,Marvel
Tuval (Earth-616),Bad Characters,,,Male Characters,Marvel
Visis (Earth-616),Bad Characters,,Black Hair,Male Characters,Marvel
Danny Summers (Earth-616),Bad Characters,,,Male Characters,Marvel
Jakar (Earth-616),Bad Characters,White Eyes,Black Hair,Male Characters,Marvel
Kohbra (Earth-616),Bad Characters,,,Male Characters,Marvel
Number One (Secret Empire 2) (Earth-616),Bad Characters,,,Male Characters,Marvel
Porcunius (Earth-616),Good Characters,,Brown Hair,Male Characters,Marvel
Amanda Saint (Earth-616),Good Characters,,,Female Characters,Marvel
Carol Landers (Earth-616),Good Characters,,Brown Hair,Female Characters,Marvel
Dagoth (Earth-616),,Yellow Eyes,No Hair,Male Characters,Marvel
Gary Dawson (Earth-616),Bad Characters,,,Male Characters,Marvel
Herman Frayne (Earth-616),Bad Characters,,,Male Characters,Marvel
Jakuna Singh (Earth-616),Good Characters,,,Male Characters,Marvel
Victor Conrad (Earth-616),Bad Characters,Blue Eyes,,Male Characters,Marvel
Baphomet (Earth-616),Bad Characters,Red Eyes,Grey Hair,Male Characters,Marvel
Owen Wallach (Earth-616),Bad Characters,,Bald,Male Characters,Marvel
Ralph Blumkenn (Earth-616),Good Characters,,,Male Characters,Marvel
Vincent Frankenstein (Earth-616),Bad Characters,,Black Hair,Male Characters,Marvel
Cardinal (ICON) (Earth-616),Bad Characters,,,Male Characters,Marvel
Carol Selby (Earth-616),Good Characters,,Brown Hair,Female Characters,Marvel
Cho Lee (Earth-616),Bad Characters,,,Male Characters,Marvel
Dontrell Hamilton (Earth-616),Bad Characters,Brown Eyes,Black Hair,Male Characters,Marvel
Eric Prawn (Earth-616),Good Characters,,,Male Characters,Marvel
Maura Spinner (Earth-616),,,Auburn Hair,Female Characters,Marvel
Miranda Rand (Earth-616),Good Characters,,Blond Hair,Female Characters,Marvel
Pavane (Female) (Earth-616),Bad Characters,,Blond Hair,Female Characters,Marvel
Richard Fenster (Earth-616),Good Characters,,,Male Characters,Marvel
Thelius (Earth-616),Bad Characters,Blue Eyes,Blond Hair,Male Characters,Marvel
Veronica von Frankenstein (Earth-616),Good Characters,,Black Hair,Female Characters,Marvel
Abner Doolittle (Earth-616),Neutral Characters,,Brown Hair,Male Characters,Marvel
Achmed El Gib\u00e1r (Earth-616),Neutral Characters,,White Hair,Male Characters,Marvel
Anpu (Earth-616),Neutral Characters,,,Male Characters,Marvel
Argyle Fist (Earth-616),Good Characters,Blue Eyes,Grey Hair,Male Characters,Marvel
Cotton Mather (Earth-616),Bad Characters,,Grey Hair,Male Characters,Marvel
Elisabeth Wilford (Earth-616),Good Characters,,Auburn Hair,Female Characters,Marvel
Hector Ruiz (Earth-616),Bad Characters,Brown Eyes,Black Hair,Male Characters,Marvel
Johann Goldstein (Earth-616),,,Grey Hair,Male Characters,Marvel
Meredith Quill (Earth-616),Good Characters,Brown Eyes,Brown Hair,Female Characters,Marvel
Snaykar (Earth-616),Bad Characters,Black Eyes,Grey Hair,Male Characters,Marvel
William Taurey (Earth-616),Bad Characters,,Grey Hair,Male Characters,Marvel
Zorr (Luphomoid) (Earth-616),Bad Characters,White Eyes,,Male Characters,Marvel
Abdul Faoul (Earth-616),,,Black Hair,Male Characters,Marvel
Aginar (Earth-616),,Grey Eyes,Black Hair,Male Characters,Marvel
Apalla (Earth-616),,,Red Hair,Female Characters,Marvel
Aries (LMD) (Earth-616),Bad Characters,,,Male Characters,Marvel
Dafydd ap Rhys (Earth-616),Bad Characters,,,Male Characters,Marvel
Dominic Dunsinane (Earth-616),Bad Characters,,Black Hair,Male Characters,Marvel
Gemini (LMD) (Earth-616),Bad Characters,,,Male Characters,Marvel
Jacob Goldstein (Earth-616),,,,Male Characters,Marvel
Jared Kurtz (Earth-616),Bad Characters,,Blond Hair,Male Characters,Marvel
Ramses (Earth-616),,Black Eyes,Black Hair,Male Characters,Marvel
Salia Petrie (Earth-616),,,Brown Hair,Female Characters,Marvel
Amos Jardine (Earth-616),Neutral Characters,Black Eyes,White Hair,Male Characters,Marvel
Buck Richlen (Earth-616),Bad Characters,,Blond Hair,Male Characters,Marvel
Frederick Kiber (Earth-616),Bad Characters,Brown Eyes,Bald,Male Characters,Marvel
Joey Burnett (Earth-616),Good Characters,,Brown Hair,Male Characters,Marvel
John Cheever (Earth-616),Neutral Characters,,,Male Characters,Marvel
Lee Switzler (Earth-616),,,,Male Characters,Marvel
Nygorn (Earth-616),,,,Male Characters,Marvel
Osinga Rplss (Earth-616),,Variable Eyes,No Hair,Male Characters,Marvel
Water Witch (Earth-616),Bad Characters,,Grey Hair,Female Characters,Marvel
Zacharaiah Seavey (Earth-616),Bad Characters,Variable Eyes,No Hair,Male Characters,Marvel
Zorba (Earth-616),,,Brown Hair,Male Characters,Marvel
Achilles (Greek Legend) (Earth-616),,,Blond Hair,Male Characters,Marvel
Alexander van Tilburg (Earth-616),Neutral Characters,Blue Eyes,Light Brown Hair,Male Characters,Marvel
Alexander Walsh (Earth-616),,,Blond Hair,Male Characters,Marvel
Doctor Scarabeus (Earth-616),Bad Characters,Brown Eyes,Bald,Male Characters,Marvel
John Gamelin (Earth-616),,,White Hair,Male Characters,Marvel
Lydia Hardy (Earth-616),,,Grey Hair,Female Characters,Marvel
Thomas Bowman (Earth-616),Good Characters,,Brown Hair,Male Characters,Marvel
Toro Rojo (Earth-616),,,,Male Characters,Marvel
Xar (Earth-616),,,,Male Characters,Marvel
Aeroika (Earth-616),,,Gold Hair,Male Characters,Marvel
Angeline Morrow (Earth-616),Good Characters,,Blond Hair,Female Characters,Marvel
Archie Stryker (Earth-616),Good Characters,Blue Eyes,Black Hair,Male Characters,Marvel
Edward Lavender (Earth-616),Good Characters,,Black Hair,Male Characters,Marvel
Hubert Fusser (Earth-616),,Brown Eyes,Black Hair,Male Characters,Marvel
Lorrie Melton (Earth-616),,,Brown Hair,Female Characters,Marvel
Margrace (Earth-616),,,,Male Characters,Marvel
Quetzalcoatl (Earth-616),,Brown Eyes,Black Hair,Male Characters,Marvel
Stephan Szardos (Earth-616),,,Black Hair,Male Characters,Marvel
Tako Shamara (Earth-616),,Brown Eyes,Black Hair,Male Characters,Marvel
Tezcatlipoca (Earth-616),Neutral Characters,Brown Eyes,Black Hair,Male Characters,Marvel
Thomas Wilkins (Earth-616),Bad Characters,Brown Eyes,Grey Hair,Male Characters,Marvel
Ultima Wordman (Earth-616),Bad Characters,Blue Eyes,Blond Hair,Female Characters,Marvel
Wilbur Garvin (Earth-616),Good Characters,,Bald,Male Characters,Marvel
Edward Ferbel (Earth-616),Neutral Characters,Blue Eyes,Blond Hair,Male Characters,Marvel
Haunch (Earth-616),,,,,Marvel
Hugo Natchios (Earth-616),,,Black Hair,Male Characters,Marvel
Ikonn (Earth-616),Neutral Characters,,No Hair,Male Characters,Marvel
Margaret Thatcher (Earth-616),,,,Female Characters,Marvel
Mentus (Earth-616),Bad Characters,,,Male Characters,Marvel
Randall Croft (Earth-616),Bad Characters,,,Male Characters,Marvel
Balor (Earth-616),,Blue Eyes,Red Hair,Male Characters,Marvel
Barnabus Kinloch (Earth-616),Bad Characters,,Blue Hair,Male Characters,Marvel
Bartak (Earth-616),Bad Characters,,,Male Characters,Marvel
Nicholas Brown (Earth-616),Neutral Characters,Brown Eyes,Grey Hair,Male Characters,Marvel
Zaniac (Earth-616),Bad Characters,Brown Eyes,Green Hair,Male Characters,Marvel
Deborah Summers (Earth-616),Good Characters,,Brown Hair,Female Characters,Marvel
Kathryn Twoyoungmen (Earth-616),Neutral Characters,,Black Hair,Female Characters,Marvel
Lucius Aquilla (Earth-616),Neutral Characters,Black Eyes,Black Hair,Male Characters,Marvel
Philip Summers (Earth-616),Good Characters,,Brown Hair,Male Characters,Marvel
Plor (Earth-616),Good Characters,,,Male Characters,Marvel
Raak (Earth-616),Bad Characters,,,Male Characters,Marvel
Ramsey McNeil (Earth-616),Good Characters,,Brown Hair,Male Characters,Marvel
Roberta Rhodes (Earth-616),Good Characters,Black Eyes,White Hair,Female Characters,Marvel
Saturnine (Earth-616),Bad Characters,White Eyes,No Hair,Male Characters,Marvel
Alexander Flynn (Earth-616),Bad Characters,Brown Eyes,Brown Hair,Male Characters,Marvel
Carlos Cassada (Earth-616),,Brown Eyes,Black Hair,Male Characters,Marvel
Carlton Sanders (Earth-616),Bad Characters,,Brown Hair,Male Characters,Marvel
David Letterman (Earth-616),Good Characters,,Brown Hair,Male Characters,Marvel
General Skul (Earth-616),,Green Eyes,Black Hair,Male Characters,Marvel
Gormuu (Earth-616),Bad Characters,Yellow Eyes,No Hair,Male Characters,Marvel
Jenna Taylor (Earth-616),,,Black Hair,Female Characters,Marvel
Puffball Collective,,,,,Marvel
Wendy Thorton (Earth-616),,,Brown Hair,Female Characters,Marvel
Wormwood (Dark Elf) (Earth-616),Bad Characters,,Brown Hair,Male Characters,Marvel
Ahqlau (Earth-616),,Green Eyes,Red Hair,Female Characters,Marvel
Arngrim (Asgardian) (Earth-616),Good Characters,,,Male Characters,Marvel
Ernest Popchik (Earth-616),Good Characters,Blue Eyes,Bald,Male Characters,Marvel
Ivich Williamson (Earth-616),,,Auburn Hair,Female Characters,Marvel
Levan (Earth-616),Bad Characters,,,Male Characters,Marvel
Predator (Earth-616),Bad Characters,Red Eyes,Green Hair,Male Characters,Marvel
Shagreen (Earth-5311),Bad Characters,Red Eyes,No Hair,Male Characters,Marvel
Whiteface (Earth-616),Good Characters,,,,Marvel
Yrik Whitemane (Earth-616),Good Characters,Pink Eyes,Black Hair,Male Characters,Marvel
Banca Rech (Earth-616),,White Eyes,Black Hair,Female Characters,Marvel
Brian Xavier (Earth-616),Neutral Characters,,Blond Hair,Male Characters,Marvel
Donald McGill (Earth-616),Bad Characters,Blue Eyes,Grey Hair,Male Characters,Marvel
Grand Thane (Asgard) (Earth-616),Good Characters,,White Hair,Male Characters,Marvel
Mike Albergo (Earth-616),Good Characters,,Black Hair,Male Characters,Marvel
Silver Death (Earth-616),Bad Characters,Black Eyes,,Male Characters,Marvel
David Hilbert (Earth-616),Bad Characters,,Blond Hair,Male Characters,Marvel
Douglas Rockwell (Earth-616),Bad Characters,,White Hair,Male Characters,Marvel
Grundroth (Earth-616),Bad Characters,,Bald,Male Characters,Marvel
Herb Bannion (Earth-616),Bad Characters,,,Male Characters,Marvel
James Madrox (Mutate Duplicate) (Earth-616),Good Characters,Green Eyes,Brown Hair,Male Characters,Marvel
Larry Carpenter (Earth-616),Neutral Characters,,Brown Hair,Male Characters,Marvel
Louis Frohike (Earth-616),Good Characters,,Brown Hair,Male Characters,Marvel
Senator Boynton (Earth-616),,,White Hair,Male Characters,Marvel
Thomas Samuels (Earth-616),Good Characters,Green Eyes,White Hair,Male Characters,Marvel
Tom Privetire (Earth-616),Neutral Characters,,Brown Hair,Male Characters,Marvel
Demon (Marea) (Earth-616),,,Black Hair,Female Characters,Marvel
Michael Ditillio (Earth-616),Neutral Characters,,,Male Characters,Marvel
Muramasa (Earth-616),Bad Characters,Brown Eyes,Black Hair,Male Characters,Marvel
Quill (Resistants) (Earth-616),,Brown Eyes,Black Hair,Male Characters,Marvel
Roy Fortune (Earth-616),Good Characters,,,Male Characters,Marvel
Zxaxz (Earth-616),Bad Characters,Red Eyes,No Hair,Male Characters,Marvel
Anton Pretorius (Earth-616),Bad Characters,,,Male Characters,Marvel
Billy Bird (Earth-616),Bad Characters,,Black Hair,Male Characters,Marvel
Brian Winslow (Earth-616),,,,Male Characters,Marvel
Burt Corrigan (Earth-616),Good Characters,Brown Eyes,Black Hair,Male Characters,Marvel
Conscience (Earth-616),Bad Characters,White Eyes,No Hair,Male Characters,Marvel
Dykon (Earth-616),,,Grey Hair,Male Characters,Marvel
Guns Gummy (Earth-616),Bad Characters,,Yellow Hair,Male Characters,Marvel
Jaime Ortiz (Earth-616),Bad Characters,,Black Hair,Male Characters,Marvel
Pamela Douglas (Earth-616),Good Characters,,,Female Characters,Marvel
Rask (Earth-616),,,Red Hair,Male Characters,Marvel
Rooster Cockburn (Earth-616),Bad Characters,,,Male Characters,Marvel
Sister Salvation (Earth-616),,,,Female Characters,Marvel
Southpaw (Loonies) (Earth-616),Bad Characters,,Red Hair,Male Characters,Marvel
Tailgunner (Earth-616),Bad Characters,,,Male Characters,Marvel
The Ham (Earth-616),Bad Characters,,,Male Characters,Marvel
Tristram Micawber (Earth-616),Bad Characters,,Bald,Male Characters,Marvel
Zharkah (Earth-616),,Black Eyes,Black Hair,Female Characters,Marvel
Asylum (Psionex) (Earth-616),Bad Characters,Black Eyes,Black Hair,Female Characters,Marvel
Bob Jones IV (Earth-616),Bad Characters,Blue Eyes,Blond Hair,Male Characters,Marvel
Elizabeth Rawson (Earth-616),Bad Characters,Brown Eyes,Black Hair,Female Characters,Marvel
Geoffrey Sydenham (Earth-616),Bad Characters,,Black Hair,Male Characters,Marvel
Illyich Prokvitch (Earth-616),,,Black Hair,Male Characters,Marvel
Jay Leno (Earth-616),Good Characters,,,Male Characters,Marvel
Luis Gutierrez (Earth-616),Bad Characters,,Black Hair,Male Characters,Marvel
Shanzar (Earth-616),Bad Characters,White Eyes,Black Hair,Male Characters,Marvel
Skreeal (Earth-616),,,No Hair,Male Characters,Marvel
Spore (Earth-616),Bad Characters,Red Eyes,No Hair,Male Characters,Marvel
Bodb Derg (Earth-616),Bad Characters,Black Eyes,Black Hair,Male Characters,Marvel
Cynthia Glass (Earth-616),Neutral Characters,Blue Eyes,Brown Hair,Female Characters,Marvel
Emelia Witherspoon (Earth-616),Good Characters,,White Hair,Female Characters,Marvel
Emily Osborn (Earth-616),Neutral Characters,,Brown Hair,Female Characters,Marvel
Eric Heller (Earth-616),Neutral Characters,,Brown Hair,Male Characters,Marvel
Erika Benson (Earth-616),Bad Characters,,,Female Characters,Marvel
Ernie Mills (Earth-616),Bad Characters,,Bald,Male Characters,Marvel
Gilbert Benson (Earth-616),Neutral Characters,,Brown Hair,Male Characters,Marvel
Hafga (Earth-616),Neutral Characters,,No Hair,,Marvel
Heml (Earth-616),Neutral Characters,,No Hair,,Marvel
James Zafar (Earth-616),Neutral Characters,Brown Eyes,Black Hair,Male Characters,Marvel
Jeremy Mchele (Earth-616),Good Characters,,Black Hair,Male Characters,Marvel
Jeremy Swimming-Bear (Earth-616),Bad Characters,Brown Eyes,Black Hair,Male Characters,Marvel
Kayama Inouye (Earth-616),,,Black Hair,Male Characters,Marvel
Melvin Gooner (Earth-616),,,,Male Characters,Marvel
Molokai (Earth-616),Bad Characters,,,Male Characters,Marvel
Morgan Kain (Earth-616),,,,Male Characters,Marvel
Reno (Earth-616),Bad Characters,,,Male Characters,Marvel
Sybyl Dorn (Earth-616),Bad Characters,,Red Hair,Female Characters,Marvel
Vug (Earth-616),Neutral Characters,,No Hair,,Marvel
Yen Hsieh (Earth-616),Bad Characters,,Black Hair,Male Characters,Marvel
Yod (Earth-616),Neutral Characters,,No Hair,,Marvel
Absalom (Earth-616),,Blue Eyes,Blond Hair,Male Characters,Marvel
Alaisa Ruatha Pethnan (Earth-616),Bad Characters,,Black Hair,Female Characters,Marvel
Aldo Ferro (Earth-616),Bad Characters,Black Eyes,Bald,Male Characters,Marvel
Bacillus (Earth-616),Bad Characters,,,Male Characters,Marvel
Birdy (Earth-616),Bad Characters,,,Female Characters,Marvel
Boris Meacham (Earth-616),Bad Characters,,,Male Characters,Marvel
Charles Shaddock (Earth-616),Bad Characters,,Black Hair,Male Characters,Marvel
Deathunt 9000 (Earth-616),Bad Characters,,Blond Hair,Male Characters,Marvel
Fang (Lilin) (Earth-616),,,Brown Hair,Male Characters,Marvel
Giscard Epurer (Earth-616),,,,Male Characters,Marvel
Gorn (Demon) (Earth-616),Bad Characters,No Eyes,No Hair,Male Characters,Marvel
Grigori Andreivitch (Earth-616),Bad Characters,,Bald,Male Characters,Marvel
Hag (Earth-616),Bad Characters,,,Female Characters,Marvel
Hashi Noto (Earth-616),,,Black Hair,Male Characters,Marvel
Jacob Weisenthal (Earth-616),Good Characters,Brown Eyes,Brown Hair,Male Characters,Marvel
James Howlett (Doppelganger) (Earth-616),Bad Characters,,Black Hair,Male Characters,Marvel
Kiyoshi Kurata (Earth-616),Good Characters,,,Male Characters,Marvel
Lukas (Earth-616),,,,,Marvel
Melody Taylor (Earth-616),,,Brown Hair,Female Characters,Marvel
Michael Suggs (Earth-616),Bad Characters,Brown Eyes,Brown Hair,Male Characters,Marvel
Moonshade (Earth-616),Bad Characters,,,Male Characters,Marvel
Power Man (Steele) (Earth-616),Bad Characters,,,Male Characters,Marvel
Ranulph Haldane (Earth-616),Bad Characters,Brown Eyes,Black Hair,Male Characters,Marvel
Reed Richards (Doppelganger) (Earth-616),Bad Characters,,Brown Hair,Male Characters,Marvel
Robert Fielder (Earth-616),,,,Male Characters,Marvel
Rubanna Quormo (Earth-616),Good Characters,White Eyes,Green Hair,Female Characters,Marvel
Skinner (Lilin) (Earth-616),Bad Characters,Red Eyes,Bald,Male Characters,Marvel
Steve Caidin (Earth-616),,,,Male Characters,Marvel
Sylvie Yaqua (Earth-616),,,Black Hair,Female Characters,Marvel
Todd Flaminirezck (Earth-616),Bad Characters,,,Male Characters,Marvel
Tom Preston (Earth-616),Bad Characters,,Black Hair,Male Characters,Marvel
Troh-Maw (Earth-616),Bad Characters,Yellow Eyes,No Hair,Male Characters,Marvel
Vesper (Legion of Vengeance) (Earth-616),Bad Characters,,Red Hair,Female Characters,Marvel
William Knox (Earth-616),Bad Characters,,Brown Hair,Male Characters,Marvel
Word (Red Skull) (Earth-616),Bad Characters,,,Male Characters,Marvel
Yeti (Weapon P.R.I.M.E.) (Earth-616),Neutral Characters,,Bald,Male Characters,Marvel
Alec Dalton (Earth-616),Good Characters,Brown Eyes,Black Hair,Male Characters,Marvel
Alisher Sham (Earth-616),Bad Characters,Grey Eyes,,Male Characters,Marvel
Anti-Being (Earth-616),Bad Characters,,,,Marvel
Brell (Earth-616),Good Characters,White Eyes,Black Hair,Male Characters,Marvel
Carl Mach (Earth-616),Bad Characters,,,Male Characters,Marvel
Fritz Sablinova (Earth-616),Bad Characters,,Grey Hair,Male Characters,Marvel
Geometer (Earth-616),Bad Characters,Green Eyes,No Hair,Male Characters,Marvel
Insidio (Earth-616),Bad Characters,White Eyes,Black Hair,Male Characters,Marvel
James Owl (Earth-616),Good Characters,Brown Eyes,Black Hair,Male Characters,Marvel
